9	5	11	20	6	312	264
14	5	14	45	5	315	312
12	7	12	81	6	460	259
12	8	12	37	5	383	326
14	5	14	20	2	473	306
12	5	13	78	4	364	263
12	5	11	39	5	303	269
11	6	14	60	5	379	261
16	6	15	48	1	406	432
13	5	16	78	5	385	259
16	7	12	78	1	553	292
16	7	14	44	2	431	444
13	7	11	85	2	505	266
14	6	13	61	6	379	257
15	7	11	30	3	426	273
14	7	14	51	4	361	258
14	5	15	29	3	432	265
11	6	13	71	2	350	278
14	8	12	88	1	366	282
10	7	13	23	4	531	260
17	6	12	82	4	573	263
16	7	11	69	3	491	263
15	6	16	41	3	418	280
15	5	12	55	0	231	216
15	7	9	47	2	493	267
16	8	13	22	6	508	294
13	8	11	65	3	355	293
11	6	13	65	3	414	240
15	6	16	42	5	320	280
14	6	13	68	5	411	278
13	7	15	85	1	385	259
15	5	16	42	1	525	266
15	6	15	84	5	292	277
12	5	12	45	4	290	291
11	6	15	72	3	483	263
16	7	12	22	3	315	272
19	5	12	71	6	439	262
16	6	12	22	4	341	284
16	5	14	31	1	548	295
11	5	14	39	2	300	266
13	4	11	39	1	329	279
16	7	17	88	1	402	267
13	7	17	46	6	477	278
14	6	12	58	4	540	271
15	7	12	46	2	499	257
17	7	14	46	2	401	307
16	7	15	46	1	323	260
10	5	14	73	1	296	296
15	6	13	31	5	407	284
10	7	9	64	0	293	265
15	7	12	37	5	472	282
14	5	14	73	2	456	289
12	5	11	56	2	418	257
6	7	18	35	1	274	264
19	6	14	54	0	537	280
13	7	15	54	3	436	247
16	5	13	36	2	281	289
11	7	11	62	5	600	266
15	9	14	82	5	222	286
13	5	7	77	1	355	258
11	6	13	80	3	251	284
16	5	13	50	4	374	219
13	6	15	36	1	244	270
12	7	9	82	0	462	271
16	7	12	57	3	357	275
13	6	17	43	5	494	257
14	5	13	37	2	448	292
14	4	16	84	5	392	279
14	5	14	65	2	222	288
15	6	14	90	1	351	271
11	5	13	40	3	481	245
13	7	15	53	1	250	273
14	7	14	43	5	405	273
15	7	13	25	6	514	290
10	6	15	37	2	449	231
11	6	13	27	2	552	271
15	7	14	65	3	503	283
12	8	16	89	4	574	256
13	8	13	49	1	367	271
16	4	13	69	5	420	264
11	4	11	22	2	393	244
12	8	11	69	6	490	274
18	7	17	80	4	476	286
14	6	15	67	0	400	259
12	8	12	40	3	291	246
13	7	14	28	4	438	269
12	6	11	77	4	382	260
16	6	12	89	5	552	280
16	6	11	80	3	405	282
9	6	13	67	1	346	270
14	7	14	65	4	575	263
16	8	13	67	3	531	332
17	6	13	33	3	427	274
15	6	14	33	4	404	254
16	7	14	46	6	455	274
16	5	12	44	1	270	265
14	8	14	42	6	357	296
13	6	13	29	3	486	271
10	6	13	47	5	366	260
14	6	13	77	2	368	247
