15	7	16	53	5	4
14	5	15	27	4	11
15	5	10	62	5	2
15	6	16	61	4	-9
13	4	11	31	0	-8
15	7	13	54	1	-4
12	4	13	58	3	-8
16	6	8	29	2	9
12	5	12	77	1	-8
16	5	14	85	1	-1
17	7	7	31	1	2
17	6	15	42	6	5
13	5	13	58	4	-1
16	6	13	41	0	-8
13	7	14	51	4	10
11	5	13	71	6	4
13	6	10	47	2	1
18	5	17	36	2	-3
15	6	17	76	3	-2
14	6	13	65	2	-11
12	5	12	55	1	-1
16	5	12	45	0	8
11	5	8	87	3	5
16	5	12	49	3	5
15	7	15	46	6	-2
15	5	12	41	4	4
16	7	13	26	2	8
13	6	11	81	6	2
13	7	12	89	5	-3
13	6	11	62	4	0
13	5	13	64	5	2
13	5	15	39	3	2
10	6	13	82	0	-2
14	5	8	33	5	1
16	6	14	66	2	-1
14	7	13	63	4	0
15	6	11	68	6	6
11	5	11	80	5	-4
12	5	11	77	1	-5
14	6	14	52	5	-1
11	4	10	67	3	-2
15	7	14	62	2	-1
12	5	12	66	3	1
12	6	13	53	5	-1
16	5	15	69	2	-5
11	7	9	31	5	-3
15	8	11	33	2	-11
14	5	10	75	6	1
14	4	12	54	4	-2
15	7	11	34	4	-3
15	6	14	24	4	-5
13	5	13	48	6	0
17	7	13	35	6	0
13	5	13	81	5	5
13	6	14	78	1	-4
14	7	15	71	1	-6
13	5	13	83	2	-1
16	7	11	77	3	-6
14	6	15	74	0	-5
12	3	12	84	4	-3
16	6	13	48	1	3
14	6	11	49	2	1
16	7	14	58	2	3
14	5	12	68	1	4
12	5	13	76	4	-1
19	5	16	59	1	4
12	6	13	43	3	-11
14	5	13	56	3	-4
11	6	8	38	3	2
14	7	13	26	5	2
11	9	12	90	4	3
18	6	13	21	1	-3
13	4	11	21	3	-7
14	7	12	38	5	-3
11	8	12	44	1	-6
15	7	16	21	4	4
16	5	14	69	3	-7
16	6	11	81	0	-2
12	6	12	52	3	3
12	7	16	71	4	1
17	5	15	58	4	-2
11	7	10	53	6	-3
14	6	14	45	1	-2
12	7	13	63	3	-6
18	7	11	21	0	-5
12	6	16	36	4	-4
14	5	10	38	1	-3
14	6	13	48	6	3
13	6	11	69	4	2
12	6	14	72	1	-8
13	7	13	73	3	-3
14	5	14	65	5	5
15	5	17	83	3	-4
12	7	11	23	6	2
15	5	15	71	1	0
14	5	9	49	6	0
12	6	12	59	1	-11
14	4	12	83	6	-6
12	4	11	43	4	-2
13	6	17	81	5	2
