94795	44
1.08E+05	44.253
1.03E+05	52.562
1.20E+05	56.794
1.03E+05	50.18
1.15E+05	40.975
96478	48.127
1.40E+05	58.367
99362	46.267
1.01E+05	55.138
1.07E+05	45.985
93612	50.274
89884	48.345
1.26E+05	53.972
89635	48.368
77038	42.877
97083	47.908
1.50E+05	57.808
1.05E+05	53.414
1.03E+05	52.784
95952	55.292
99417	50.26
81907	48.131
93424	39.486
1.60E+05	56.804
87997	47.945
92225	52.196
1.05E+05	49.762
1.03E+05	52.27
1.08E+05	48.892
1.09E+05	46.604
96706	53.423
1.60E+05	57.141
98631	43.707
1.09E+05	58.481
98651	59.439
1.03E+05	53.727
85466	54.885
7.50E+04	45.515
97041	53.687
85230	51.969
1.40E+05	56.543
140000	55.538
1.04E+05	49.902
1.10E+05	52.931
135000	53.624
1.04E+05	45.671
1.40E+05	53.951
93329	49.267
8.00E+04	50.342
127000	54.661
1.30E+05	52.475
1.45E+05	56.392
99708	46.9
65000	47.35
8.00E+04	48.249
82720	49.044
7.50E+04	50.819
1.09E+05	46.465
1.90E+05	61.482
1.13E+05	52.138
74886	58.059
1.05E+05	46.744
1.00E+05	45.233
1.00E+05	44.807
92754	52.768
83777	52.434
90336	45.851
1.04E+05	40.194
1.01E+05	43.191
1.06E+05	50.099
1.08E+05	53.695
88889	58.7
99850	53.446
1.05E+05	53.738
91740	49.086
1.15E+05	46.445
1.09E+05	40.248
96214	51.888
1.01E+05	43.393
1.06E+05	36.824
93455	56.015
81140	49.6
1.04E+05	52.014
1.01E+05	44.253
87895	48.928
1.14E+05	50.638
1.85E+05	61.193
99492	53.312
1.06E+05	46.438
1.01E+05	48.517
93896	44.4
82865	55.436
95714	48.03
1.03E+05	56.678
90151	48.535
89824	49.461
1.14E+05	44.558
1.07E+05	45.949
1.07E+05	55.535
78514	55.118
94491	49.624
1.12E+05	55.849
1.03E+05	51.32
79554	43.18
1.09E+05	45.362
1.01E+05	46.11
1.11E+05	48.18
82535	51.013
1.09E+05	50.916
95731	46.74
1.04E+05	51.567
80038	44.839
1.05E+05	51.575
76132	40.629
1.03E+05	49.217
1.00E+05	54.552
1.01E+05	50.723
1.09E+05	56.96
95979	48.716
95900	50.968
1.02E+05	47.753
1.14E+05	48.65
95322	53.45
92875	51.935
85552	42.361
1.16E+05	49.546
1.07E+05	52.55
1.04E+05	47.533
1.14E+05	44.922
1.02E+05	51.087
93150	53.516
96280	54.966
1.07E+05	62.396
1.20E+05	55.553
1.07E+05	52.408
99936	54.095
1.04E+05	53.043
97097	48.633
84532	41.28
92569	50.093
92989	42.583
89223	49.088
94735	47.454
1.01E+05	49.138
90296	57.983
97013	55.977
1.09E+05	59.855
1.05E+05	47.925
1.04E+05	41.019
98442	56.483
1.05E+05	52.39
92924	50.907
98741	43.624
77210	50.391
1.03E+05	45.615
79941	49.043
92466	46.254
1.13E+05	47.344
1.17E+05	58.185
1.16E+05	59.925
89092	47.318
92365	47.366
98620	53.491
1.00E+05	54.011
99025	42.1
1.08E+05	46.101
1.00E+05	44.283
1.10E+05	52.315
1.04E+05	56.428
1.03E+05	48.121
95283	53.039
1.05E+05	46.292
1.09E+05	47.756
1.14E+05	56.391
1.06E+05	50.997
84418	52.783
1.19E+05	54.402
94443	44.681
1.07E+05	54.213
71594	46.218
1.25E+05	54.907
88337	54.464
92962	56.739
96623	52.191
1.03E+05	53.839
89409	47.833
1.10E+05	42.619
79738	47.45
99722	53.447
1.01E+05	47.712
96914	50.616
81804	55.369
1.03E+05	57.865
90445	49.614
1.07E+05	45.84
97626	46.454
